0	0.73242188
2	1.953125
4	3.4179688
6	5.0048828
8	6.4697266
10	7.9345703
12	9.5214844
14	10.986328
16	12.451172
18	13.916016
20	15.380859
22	16.845703
24	18.188477
26	19.65332
28	20.996094
30	22.338867
32	23.681641
34	25.024414
36	26.245117
38	27.46582
40	28.686523
42	29.907227
44	31.005859
46	32.104492
48	33.203125
50	34.179688
52	35.15625
54	36.132812
56	36.987305
58	37.841797
60	38.574219
62	39.428711
64	40.161133
66	40.771484
68	41.381836
70	41.992188
72	42.480469
74	42.96875
76	43.457031
78	43.823242
80	44.189453
82	44.555664
84	44.921875
86	45.288086
88	45.532227
90	45.776367
92	46.142578
94	46.386719
96	46.630859
98	46.75293
100	46.99707
