0	0.12207031
2	0.24414062
4	0.48828125
6	0.73242188
8	0.85449219
10	1.0986328
12	1.2207031
14	1.3427734
16	1.5869141
18	1.7089844
20	1.8310547
22	2.0751953
24	2.1972656
26	2.4414062
28	2.5634766
30	2.6855469
32	2.9296875
34	3.0517578
36	3.1738281
38	3.2958984
40	3.5400391
42	3.6621094
44	3.7841797
46	4.0283203
48	4.1503906
50	4.2724609
52	4.3945312
54	4.5166016
56	4.6386719
58	4.8828125
60	5.0048828
62	5.1269531
64	5.2490234
66	5.3710938
68	5.3710938
70	5.4931641
72	5.6152344
74	5.7373047
76	5.7373047
78	5.859375
80	5.9814453
82	5.9814453
84	6.1035156
86	6.1035156
88	6.2255859
90	6.2255859
92	6.2255859
94	6.3476562
96	6.3476562
98	6.3476562
100	6.4697266
